Property ID,Property name,Country,X,Y,Ore processed (tonnes),Bauxite,Cobalt,Copper,Diamonds,Gold,Iron,Lead,Lithium,Manganese,Molybdenum,Nickel,Phosphate,Platinum,Silver,Tin,Zinc
,,,,,,,,,,,,,,,,,,,,,
28272,Baluba,Zambia,28.33806,-13.04861,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28268,Chambishi,Zambia,28.04472,-12.65889,"1,763,377",,"1,774","14,187",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
36116,Chambishi West,Zambia,28.04187,-12.65198,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
31323,Chibuluma South,Zambia,28.08028,-12.91306,"418,795",, -   ,"8,174",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
85700,Cu and Co Tailings,Zambia,28.43101,-14.4599,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27740,Konkola Deep,Zambia,27.82759,-12.37978,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28837,Lubambe,Zambia,27.76806,-12.29917,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28868,Lumwana,Zambia,25.82228,-12.23622,"24,936,000",, -   ,"107,955",,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28269,Mufulira,Zambia,28.23889,-12.53417,"868,947",, -   ,"61,900",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30969,Muliashi North,Zambia,28.32583,-13.06861,"3,750,000",, -   ,"41,876",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27453,Munali,Zambia,28.13444,-15.92333,"281,250",, -   ,"1,338",,,,,,,,"2,250",,0,,,
,,,,,,,,,,,,,,,,,,,,,
33810,Mwambashi,Zambia,27.968,-12.722,"1,465,667",, -   ,"6,973",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
68283,Mwinilunga,Zambia,24.41,-11.86,"305,702",, -   ,"1,294",,0,,,,,, -   ,,,,,
,,,,,,,,,,,,,,,,,,,,,
28264,Nchanga,Zambia,27.85752,-12.51308,"13,198,835",,"1,252","65,544",,,"3,864,651",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
76095,Nchanga SX-EW,Zambia,27.84684,-12.53498,"272,092",, -   ,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28270,Nkana,Zambia,28.19778,-12.83194,"1,500,000",, -   ,"21,270",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29191,Nkana Slag,Zambia,28.21028,-12.83944,"305,702",, -   ,"1,294",,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
36127,Trident - Sentinel,Zambia,25.14786,-12.23238,"48,858,000",, -   ,"220,006",,30,,,,,,"22,155",,,1,,
,,,,,,,,,,,,,,,,,,,,,
26668,Kansanshi,Zambia,26.42934,-12.09539,"27,808,000",,,"232,243",,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30495,Mkushi,Zambia,29.15844,-13.93222,"272,092",,,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
85185,Large Copper Tailings Resources,Zambia,28.43127,-14.46322,"272,092",,,"1,294",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49812,Kasempa,Zambia,26.356667,-13.3425,"305,702",,,"1,294",,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
36675,Kabwe Tailings,Zambia,28.4332,-14.45973,"272,092",,,"1,294",,,, -   ,, -   ,,,,, -   ,, -   
,,,,,,,,,,,,,,,,,,,,,
64394,Serenje,Zambia,29.284,-11.878,,,,,,,,,, -   ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
76265,Maybach,Zambia,29.77333,-14.13,,,,,,,,,, -   ,,,,,,,
